id,user_id,mbti_type,test_date
1,1,ENFJ,2026-06-16 05:38:24.868331
2,2,ENTJ,2026-06-16 05:38:24.876351
3,3,ENFP,2026-06-16 05:38:24.896621
4,4,INFP,2026-06-16 05:38:24.90032
5,5,ISFP,2026-06-16 05:38:24.916849
6,6,ENTJ,2026-06-16 05:38:24.924362
7,7,ESTJ,2026-06-16 05:38:24.936607
8,8,ENTJ,2026-06-16 05:38:24.945949
9,9,ENFJ,2026-06-16 05:38:24.954921
10,10,ENTP,2026-06-16 05:38:24.966944
11,11,ISFJ,2026-06-16 05:38:24.97078
12,12,ENTJ,2026-06-16 05:38:24.984727
13,13,ENTP,2026-06-16 05:38:24.9879
14,14,ISTP,2026-06-16 05:38:25.000835
15,15,ENTJ,2026-06-16 05:38:25.013482
16,16,ESTJ,2026-06-16 05:38:25.018245
17,17,ISFP,2026-06-16 05:38:25.031954
18,18,ENTJ,2026-06-16 05:38:25.042664
19,19,ENFJ,2026-06-16 05:38:25.049808
20,20,ESFP,2026-06-16 05:38:25.060955
21,21,ENFP,2026-06-16 05:38:25.070894
22,22,ISTP,2026-06-16 05:38:25.081441
23,23,ISTP,2026-06-16 05:38:25.081441
24,24,ISFP,2026-06-16 05:38:25.097649
25,25,ENFP,2026-06-16 05:38:25.106155
26,26,ENTP,2026-06-16 05:38:25.115743
27,27,ENFJ,2026-06-16 05:38:25.140052
28,28,ESFJ,2026-06-16 05:38:25.162398
29,29,ENFJ,2026-06-16 05:38:25.185378
30,30,ISFJ,2026-06-16 05:38:25.196992
31,31,ENTP,2026-06-16 05:38:25.218274
32,32,ENTJ,2026-06-16 05:38:25.229912
33,33,ENFP,2026-06-16 05:38:25.246338
34,34,ENFJ,2026-06-16 05:38:25.260641
35,35,ISTP,2026-06-16 05:38:25.274404
36,36,ENFP,2026-06-16 05:38:25.286685
37,37,ESFP,2026-06-16 05:38:25.296014
38,38,ENFP,2026-06-16 05:38:25.302447
39,39,ESFP,2026-06-16 05:38:25.318017
40,40,INFJ,2026-06-16 05:38:25.331261
41,41,INFP,2026-06-16 05:38:25.33779
42,42,ESTJ,2026-06-16 05:38:25.354641
43,43,ENTJ,2026-06-16 05:38:25.366606
44,44,ISFP,2026-06-16 05:38:25.373192
45,45,ISTP,2026-06-16 05:38:25.382634
46,46,INFJ,2026-06-16 05:38:25.382634
47,47,ESTP,2026-06-16 05:38:25.403434
48,48,ISTP,2026-06-16 05:38:25.416906
49,49,ISFJ,2026-06-16 05:38:25.428397
50,50,ISFP,2026-06-16 05:38:25.436866
51,51,INFJ,2026-06-16 05:38:25.445673
52,52,ESFJ,2026-06-16 05:38:25.453178
53,53,ENTP,2026-06-16 05:38:25.46173
54,54,ENFJ,2026-06-16 05:38:25.469935
55,55,ESTJ,2026-06-16 05:38:25.479164
56,56,INTJ,2026-06-16 05:38:25.48856
57,57,ISTJ,2026-06-16 05:38:25.502741
58,58,INTP,2026-06-16 05:38:25.511751
59,59,ESTJ,2026-06-16 05:38:25.520644
60,60,ESFJ,2026-06-16 05:38:25.529088
61,61,INFJ,2026-06-16 05:38:25.537455
62,62,ISFJ,2026-06-16 05:38:25.548232
63,63,ENTJ,2026-06-16 05:38:25.553344
64,64,INFJ,2026-06-16 05:38:25.564023
65,65,ISTP,2026-06-16 05:38:25.564023
66,66,ISTP,2026-06-16 05:38:25.580808
67,67,ESTJ,2026-06-16 05:38:25.5892
68,68,INTP,2026-06-16 05:38:25.597253
69,69,ESFP,2026-06-16 05:38:25.597253
70,70,ISTP,2026-06-16 05:38:25.613554
71,71,ESTJ,2026-06-16 05:38:25.620838
72,72,INFP,2026-06-16 05:38:25.630096
73,73,ENFJ,2026-06-16 05:38:25.639332
74,74,ISTJ,2026-06-16 05:38:25.647173
75,75,ESFJ,2026-06-16 05:38:25.655997
76,76,INTP,2026-06-16 05:38:25.66356
77,77,ENTP,2026-06-16 05:38:25.671397
78,78,INTP,2026-06-16 05:38:25.680549
79,79,ESFP,2026-06-16 05:38:25.690988
80,80,INTJ,2026-06-16 05:38:25.697321
81,81,ENTP,2026-06-16 05:38:25.708515
82,82,INTJ,2026-06-16 05:38:25.717844
