user_id,interest_id
1,26
1,13
1,15
2,25
2,16
2,10
2,24
3,8
3,32
3,30
4,6
4,5
4,7
4,32
4,4
5,5
5,7
5,6
6,13
6,15
6,26
6,14
7,30
7,31
7,32
8,24
8,10
8,9
8,16
8,25
9,16
9,4
9,20
10,16
10,4
10,21
11,32
11,5
11,7
11,4
12,30
12,32
12,31
12,8
13,8
13,31
13,30
13,32
14,13
14,26
14,14
14,15
14,12
15,14
15,15
15,13
16,16
16,4
16,21
16,20
16,19
17,19
17,16
17,4
18,7
18,5
18,6
18,4
18,32
19,7
19,4
19,6
19,32
19,5
20,10
20,9
20,16
20,25
20,24
21,6
21,32
21,4
21,5
22,16
22,4
22,21
23,4
23,20
23,21
24,19
24,4
24,16
25,6
25,32
25,4
25,7
25,5
26,25
26,24
26,9
27,15
27,12
27,26
27,13
28,26
28,15
28,13
28,14
29,21
29,16
29,20
30,5
30,6
30,7
30,4
30,32
31,32
31,31
31,8
32,6
32,5
32,7
32,32
33,16
33,24
33,10
33,25
33,9
34,10
34,24
34,25
34,9
34,16
35,15
35,13
35,26
35,14
35,12
36,31
36,30
36,32
37,5
37,7
37,4
37,6
38,16
38,24
38,25
39,8
39,32
39,30
40,20
40,4
40,16
40,21
40,19
41,5
41,32
41,4
41,7
42,21
42,19
42,4
42,20
43,32
43,30
43,31
43,8
44,13
44,12
44,26
44,14
44,15
45,31
45,32
45,8
46,24
46,10
46,16
47,4
47,21
47,16
47,19
47,20
48,4
48,6
48,5
48,32
48,7
49,16
49,25
49,10
49,9
50,6
50,4
50,5
50,32
51,13
51,12
51,26
52,32
52,31
52,8
52,30
53,6
53,4
53,5
54,21
54,20
54,4
55,13
55,15
55,14
55,26
55,12
56,25
56,16
56,10
56,9
57,5
57,6
57,7
57,4
58,8
58,32
58,31
58,30
59,16
59,10
59,24
59,25
60,26
60,13
60,15
61,31
61,32
61,30
61,8
62,4
62,32
62,7
63,25
63,16
63,9
63,10
63,24
64,25
64,10
64,16
64,9
65,4
65,6
65,5
66,4
66,21
66,19
66,20
66,16
67,16
67,21
67,4
67,19
68,15
68,26
68,13
69,16
69,21
69,4
69,19
70,4
70,16
70,20
70,21
71,30
71,8
71,31
72,6
72,32
72,7
72,5
72,4
73,16
73,24
73,10
74,32
74,4
74,7
75,14
75,13
75,12
75,15
76,32
76,31
76,30
76,8
77,9
77,25
77,24
78,30
78,32
78,8
78,31
79,16
79,19
79,21
80,32
80,8
80,31
81,32
81,4
81,6
81,5
82,24
82,9
82,10
83,31
83,8
83,32
84,12
84,15
84,26
85,32
85,31
85,8
86,31
86,30
86,32
86,8
87,31
87,30
87,32
